City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,dikson,100,RU,1577132765,93,73.51,80.55,0.84,14.14
1,coahuayana,0,MX,1577132765,34,18.62,-100.35,90.39,3.27
2,naze,61,NG,1577132765,69,5.43,7.07,75.2,4.65
3,cape town,0,ZA,1577132762,77,-33.93,18.42,64.99,9.17
4,rikitea,100,PF,1577132765,81,-23.12,-134.97,74.73,10.83
5,kodiak,1,US,1577132765,47,39.95,-94.76,59.0,8.05
6,pandamatenga,90,BW,1577132765,34,-18.54,25.64,74.66,3.27
7,puerto madryn,100,AR,1577132765,26,-42.77,-65.04,71.02,25.43
8,hilo,40,US,1577132765,65,19.71,-155.08,78.8,6.93
9,klaksvik,1,FO,1577132766,93,62.23,-6.59,39.2,8.34
10,ushuaia,75,AR,1577132766,71,-54.81,-68.31,50.0,23.04
11,jamestown,0,AU,1577132766,36,-33.21,138.6,71.35,5.97
12,hobart,75,AU,1577132642,71,-42.88,147.33,54.0,9.17
13,mataura,100,NZ,1577132766,81,-46.19,168.86,52.0,4.0
14,mehamn,75,NO,1577132766,86,71.03,27.85,32.0,10.29
15,vestmannaeyjar,100,IS,1577132766,88,63.44,-20.27,38.91,9.26
16,port elizabeth,1,US,1577132766,37,39.31,-74.98,55.99,5.82
17,bom despacho,100,BR,1577132766,95,-19.74,-45.25,70.12,2.24
18,butaritari,100,KI,1577132766,81,3.07,172.79,81.54,19.8
19,hermanus,0,ZA,1577132766,88,-34.42,19.24,61.0,1.01
20,cabatuan,76,PH,1577132766,82,16.95,121.67,70.27,1.72
21,bluff,4,AU,1577132767,75,-23.58,149.07,73.29,2.98
22,praia,75,BR,1577132767,65,-20.25,-43.81,78.8,4.7
23,upernavik,0,GL,1577132767,72,72.79,-56.15,1.53,3.44
24,saskylakh,100,RU,1577132767,91,71.97,114.09,-19.52,3.13
25,port alfred,80,ZA,1577132767,91,-33.59,26.89,66.0,5.99
26,tuatapere,100,NZ,1577132767,81,-46.13,167.69,52.0,4.0
27,bredasdorp,0,ZA,1577132767,72,-34.53,20.04,62.6,6.93
28,pirovskoye,88,RU,1577132467,97,57.63,92.27,4.1,5.44
29,brae,79,GB,1577132767,92,60.4,-1.35,35.6,5.79
30,faanui,100,PF,1577132767,89,-16.48,-151.75,77.68,11.95
31,punta arenas,75,CL,1577132767,62,-53.16,-70.91,53.6,23.04
32,vaini,75,IN,1577132767,71,15.34,74.49,66.87,6.06
33,tiksi,100,RU,1577132767,100,71.64,128.87,-11.06,4.38
34,lagoa,38,PT,1577132767,100,37.14,-8.45,60.01,4.7
35,sao joao da barra,40,BR,1577132767,69,-21.64,-41.05,82.4,9.17
36,airai,13,TL,1577132768,92,-8.93,125.41,66.27,3.02
37,buta,1,CD,1577132768,73,2.79,24.73,72.39,1.48
38,sur,89,OM,1577132768,43,22.57,59.53,67.03,5.86
39,tasiilaq,49,GL,1577132768,51,65.61,-37.64,12.2,5.82
40,kapaa,90,US,1577132711,88,22.08,-159.32,78.8,6.93
41,busselton,0,AU,1577132768,55,-33.64,115.35,60.01,10.89
42,albany,40,US,1577132560,49,42.65,-73.75,50.0,6.93
43,saint-philippe,75,CA,1577132768,70,45.36,-73.48,44.6,13.87
44,arraial do cabo,75,BR,1577132768,83,-22.97,-42.02,82.4,16.11
45,codajas,100,BR,1577132768,96,-3.84,-62.06,75.02,2.28
46,coquimbo,75,CL,1577132768,72,-29.95,-71.34,75.99,9.17
47,deputatskiy,97,RU,1577132768,100,69.3,139.9,-28.12,1.28
48,tuktoyaktuk,90,CA,1577132768,75,69.44,-133.03,-16.6,4.7
49,semirom,0,IR,1577132769,29,31.41,51.57,26.98,3.89
50,vysokogornyy,100,RU,1577132769,100,50.1,139.13,-23.06,2.13
51,esperance,90,AU,1577132769,82,-33.86,121.89,62.6,3.36
52,zhigansk,100,RU,1577132769,94,66.77,123.37,-23.98,2.8
53,zhireken,0,RU,1577132769,92,52.82,117.29,-24.9,1.43
54,kabo,0,CF,1577132769,29,7.69,18.62,76.62,3.78
55,avarua,100,CK,1577132769,83,-21.21,-159.78,75.2,20.8
56,chuy,13,UY,1577132769,57,-33.69,-53.46,70.43,12.21
57,puerto ayora,75,EC,1577132769,65,-0.74,-90.35,80.6,9.17
58,nikolskoye,90,RU,1577132769,93,59.7,30.79,39.2,1.79
59,kadnikov,100,RU,1577132769,98,59.5,40.34,35.06,5.88
60,puerto escondido,40,MX,1577132769,79,15.86,-97.07,86.0,6.93
61,rawson,100,AR,1577132769,63,-43.3,-65.11,61.54,17.11
62,byron bay,90,AU,1577132555,94,-28.65,153.62,75.99,1.3
63,tura,82,RU,1577132770,93,64.27,100.22,-18.4,4.07
64,madang,69,CN,1577132770,22,35.32,102.79,25.74,2.95
65,antalaha,100,MG,1577132770,82,-14.9,50.28,81.07,24.38
66,west des moines,90,US,1577132492,53,41.56,-93.76,54.0,3.36
67,tigil,28,RU,1577132770,95,57.8,158.67,-3.1,6.22
68,kavaratti,100,IN,1577132770,74,10.57,72.64,82.76,9.64
69,new norfolk,75,AU,1577132770,71,-42.78,147.06,54.0,9.17
70,tezu,62,IN,1577132770,51,27.93,96.16,53.76,2.8
71,lasa,75,CY,1577132770,72,34.92,32.53,66.2,14.99
72,banjar,0,ID,1577132770,92,-7.37,108.54,73.53,1.59
73,georgetown,75,GY,1577132771,88,6.8,-58.16,80.6,9.17
74,tsagan aman,22,RU,1577132771,75,47.57,46.72,31.78,16.62
75,geraldton,40,CA,1577132771,67,49.72,-86.95,17.6,5.82
76,lebu,40,ET,1577132771,71,8.96,38.73,55.47,0.94
77,keetmanshoop,7,NA,1577132771,23,-26.57,18.15,87.8,4.7
78,cayenne,75,GF,1577132771,88,4.94,-52.33,80.6,8.05
79,bethel,90,US,1577132717,77,60.79,-161.76,1.4,24.16
80,sena madureira,100,BR,1577132771,54,-9.07,-68.66,88.47,1.03
81,amontada,17,BR,1577132771,50,-3.36,-39.83,85.39,13.0
82,east london,24,ZA,1577132771,52,-33.02,27.91,81.93,9.55
83,atbasar,99,KZ,1577132771,89,51.81,68.36,5.74,17.11
84,huarmey,57,PE,1577132771,57,-10.07,-78.15,76.51,8.63
85,kruisfontein,67,ZA,1577132771,85,-34.0,24.73,64.72,10.13
86,castro,90,CL,1577132772,87,-42.48,-73.76,53.6,5.82
87,mar del plata,100,AR,1577132772,47,-46.43,-67.52,61.52,16.62
88,hithadhoo,100,MV,1577132772,83,-0.6,73.08,80.55,16.37
89,krasnoufimsk,100,RU,1577132772,89,56.6,57.77,20.23,12.26
90,yellowknife,75,CA,1577132772,83,62.45,-114.38,-2.99,5.82
91,port hardy,75,CA,1577132772,75,50.7,-127.42,42.8,6.93
